None,Python and Coding,Github,MySQL,Assignments,Quizzes,Understanding requirements and instructions,Learning New Material,Course Structure and Materials,Time Management and Motivation,Group Work,API,Project,text
0,0,0,0,0,0,0,0,0,0,1,0,0,"😊SatisfiedI feel like I have learned a good bit about software engineering to prepare me for a career in it if I chose that.The group work, not just working in a group but the work itself is a lot. Working with my team has been fine, but group work in itself is always a bit tricky.Consistent communication with my team about the assignments due.I don't believe so, I think myself and my team are on track to have the project completed on time."
0,0,0,0,0,0,0,0,0,0,1,0,0,😐Neutral (No strong positive or negative emotions)It’s been hard to coordinate the final project remotely even with our groups virtual meetings. Definitely getting everyone aligned on the final project. We’re all more than happy to work on it but figuring out what each of us needed to do has been difficult Using the diagrams we made in the second project assignment was helpful to split things up Trying to get the final project working fully in time
0,0,1,0,0,0,0,0,0,0,0,0,0,😐Neutral (No strong positive or negative emotions)The class has not been that bad and helpful for the future.Working/ remembering git commandsWatching youtube videos and having a google doc for commands N/A
0,0,0,0,0,0,0,1,0,0,0,0,0,😊SatisfiedN/ATrying to learn everythingStudying moreJust studying
1,0,0,0,0,0,0,0,0,0,0,0,0,"😊Satisfied,😐Neutral (No strong positive or negative emotions)I’m happy with how it went so far.N/AN/ANo"
0,0,0,0,0,0,0,0,0,0,1,0,0,😐Neutral (No strong positive or negative emotions)I am just going along with the course as we get to the end of it.Trying to help my group in a our group project by making sure I am doing my part.Watching YouTube videos and the review videos given to us to help with certain parts and communicating with my group. None currently other than the ones presented to me while working on the group project. 
0,0,0,0,0,0,0,0,0,0,1,0,0,"😰Anxious,😐Neutral (No strong positive or negative emotions)Not sure how I feel our group project will turn out.Communicating with group members and diving tasks evenly.We setup a discord to communicate and set up meetings to discuss who is responsible for certain parts.Finishing the group project is my current challenge, I am working on my assigned portioned and hoping that my group members finish theirs on time."
0,0,0,0,0,0,0,0,0,1,0,0,0,"😍Excited,😊SatisfiedI have enjoyed the material so farKeeping up with due datesstart working earliernot really"
0,0,0,0,0,0,0,0,0,0,0,1,0,😊SatisfiedI learned a lotFASTAPI was hard to get started on but once started i moved pretty quicklyFASTAPI documentation and looking at old labsnone
0,0,0,0,0,0,0,0,0,0,0,1,0,"😖Frustrated,😟ConfusedI do not fully comprehend the final projected and the expectations.My greatest challenge has been understanding how to effectively implement API. To overcome this challenge I have studied outside resources over the topic. My only current challenge is completing the final project correctly. "
0,0,0,0,0,0,0,0,0,0,0,1,1,"😖Frustrated,😟Confused,😰Anxious,😐Neutral (No strong positive or negative emotions)Working on the final project for the course has been a welcoming experience that allows us to expand our skills using Python, software engineering fundamentals, and teamwork. However, this project has brought a lot of confusion as my team and I have come across several different errors and issues that have held us back from processing. While each mistake has been a learning experience, it is not to say that this final assignment has brought a lot of frustration and anxiety to the table.Considering the only thing left in the course is the final project, the biggest challenge so far is still working with FastAPI and learning how to make the code functional with the API application. While I still haven't completely overcome the challenge yet, the support module provided for FastAPI by the professor has been helpful along with the other additional resources in Canvas. Also attending office hours for further clarification has helped to some extent.Other than the final project, no other current challenges are present so far in the course."
0,0,0,0,0,0,0,0,0,0,1,0,1,😖FrustratedI am annoyed with how this class was handled when it comes to what we were taught before the final project. Teaching myself basically how to do the entire group project. I spent hours working on the project trying to debug code and figure out what I was doing. Some of my group members are being unhelpful and doing less than their share of work. 
0,0,0,0,0,0,0,0,0,0,1,0,0,"😊SatisfiedI'm satisfied because I've completed the parts with my group, and throughout completing each part I've learned a lot of new skills. The biggest challenge was fixing all the errors in our code in part 2 because working together is difficult as people code in different ways.We overcame this challenge by saying when we updated the repo with changes. Everytime that was said, the next person that would complete something pulled the latest version of the repo. I would go in at the end to make sure everyone's code matched in terms of like variables and such things.I don't have any current challenges as I'm doing this quiz, but I may have some once I take a look at the upcoming final assignments."
0,0,0,0,0,0,0,0,0,0,1,0,0,"😍Excited,😊Satisfied,😰AnxiousI feel like I learned a lot, but need to practice it more so I know how to apply it.The past couple of weeks have been challenging due to group work, with difficulty getting all team members on the same page and meeting deadlines in a timely manner.I have just attempted to maintain an open line of communication with the team. I’ve also put out suggestions early on before assignments are due so that we can discuss it or somebody can pivot on it as needed.No, none that I can think of. I will be going back through the CRUD lesson and running through my program for the final project to make sure everything works. OK other than that the lecture and instructions have been pretty clear and easy to follow."
0,0,0,0,0,0,0,0,0,0,0,1,0,😍ExcitedLearning more about SEAPI ResearchNo
0,0,0,0,0,0,0,0,0,0,0,0,1,😊SatisfiedI feel satisfied with the course because I feel that I have been able to learn a lot. Through working on class assignments and working with my group on the final project I can see how I will be able to take what I have learned in this course and use it not only in future courses that I may be taking but also in a future job/ carrier. My biggest challenge in the past modules has been working on the final project. In order to help myself better take on the challenges presented in the final project I have been meeting with my group to go over the requirements and check over work that I do not feel confident on. By doing so I feel better prepared to complete the project and have been able to use my time more effectively. I do not feel as though I have any current challenges in the course.
0,0,0,0,0,0,0,0,0,0,1,0,0,"😊SatisfiedI selected satisfied because thus far I have been able to maintain a good grade while also being able to troubleshoot issues without too much of a hassle. The biggest challenge for these past modules has been working in a group because normally I like to work by myself so trying to communicate with group members in a virtual environment using the discussion board started off a bit bumpy because I wasn't notified when a group member said something within it so by the time I checked it, it was already like 1-2 days after it was posted. The way we overcame these issues was by migrating over to groupme because then we were able to receive and respond to the messages of other group members almost instantaneously. n/a"
0,0,0,0,0,0,0,0,0,0,0,1,0,😊SatisfiedI’ve learned a lot while taking this course and I’m satisfied with the knowledge I have regarding software engineering My biggest challenge was probably understanding fast apiI overcame these challenges by looking back at the modules and looking at tutorials I don’t have any current challenges 
0,0,0,0,0,0,1,0,0,0,0,1,1,"😖Frustrated,😰AnxiousI am anxious about finishing up the group project and passing the class. I also selected frustrated because I did not expect the course to be as difficult as it was in an asynchronous format. The biggest challenges for the past modules were server issues (?) that made it difficult to do API implementation because the end point documentation would not show up. I also struggled with understanding the requirements and implementation of the group project. Once I went to office hours with a group member it made more sense.I talked to my group member and went to office hours for clarification. I also sought out resources on the internet and youtube to get more information about what diagrams should look like and what typical conventions I should follow. The Lucidchart youtube channel was especially helpful. I am a little nervous about finishing up the group project, I am not particularly sure how it all is supposed to come together in the end but I'm going to use online resources, the instructional team, and work with my group members to complete it. "
0,0,0,0,0,0,0,0,0,1,1,0,0,"😊Satisfied,😰AnxiousThe project is going as smoothly as expected, but I am always anxious about deadlines.I think getting to delegate all the work properly is difficult, and It is something we can improve on.I think we overcame these challenges by talking through it and deciding how much workload we have.No current challenges in the course."
0,0,0,0,0,0,0,0,0,0,0,1,0,"😖Frustrated,😟ConfusedI am still having trouble with certain parts of the course. I am working on troubleshooting and fixing these problems but I may need extra help. I can't get the code to run on a server. Something is blocking it and I am not sure what. I am still stuck, nothing I do seems to help. I will meet with TAs to see if I can fix this issue. The previously mentioned problem is the only one. "
0,0,0,0,0,0,0,0,0,0,1,0,0,"😊Satisfied3155 is great I love the layout, modules/quizzes are easily doneMy biggest challenges are probably the group assignments as a lot of planning needs to be doneTalking to our group mates and having a good plate is always the bestNothing currenlty"
0,0,0,0,0,0,0,0,0,0,1,0,0,😍ExcitedI'm having fun working on this project with my group right nowDividing up responsibilities for the projectWe talked about as a group in our group meetingsNot really
0,0,0,0,0,0,0,0,0,0,1,0,0,😊SatisfiedI have learned a lot and furthered my skills as a whole. My biggest challenge has been the group project getting everyone on the same page and putting the same amount of effort into it. A step I have taken is effectively communicating with my teammates what we need to do and what time it needs to be done. I don't have any current challenges since the group has started working together on the project. 
0,0,0,0,1,0,0,0,0,0,0,0,0,😊SatisfiedI feel a little more confidence. The group project went smoothly. Some assignments that one TA helped me with and other TA can't access. I emailed everyone but I still haven’t got a response on that.n/a
0,0,0,0,0,0,0,0,0,0,0,0,1,"😊Satisfied,😐Neutral (No strong positive or negative emotions)satisfied and neutral because i have been doing okay so far.Definitely working on the final projectI worked together with my group and discussed everything Not at the moment"
1,0,0,0,0,0,0,0,0,0,0,0,0,😍ExcitedI am excited to learn about using Python for software developmentMy biggest challenges are nonexistent.N/ANo
0,0,0,0,0,0,0,0,0,0,1,0,0,😖FrustratedI hate college group work.Group members being unproductiveI haven'tGroup members
0,0,0,0,0,0,0,0,0,0,1,0,0,😊SatisfiedThe groups are awkard to manage totally online but other than that I enjoy the classMostly just adjusting to the groupIm working on communicating better with my groupNo significant challenges
0,0,0,0,0,0,0,0,0,0,1,0,0,"😖FrustratedGroup projectThe concepts taught and resources provided were good, the challenge was more in getting teamwork for the group project.Working on breaking up tasks more, asking for transparency in work complete (like committing to the github regularly ) so the team what is done or needs to be done.See above"
0,0,0,0,0,0,0,0,0,0,0,1,1,"😊SatisfiedI have enjoyed the course so far, learning has been adequately expressed through the implementation of my project.Making sure we met the requirements for the projectworked on zoom multiple times with my partners to correct mistakes and adequately complete the assignmentgetting the Fast API server to work has seemed to be an issue for not only me but my partners as well"
0,0,0,0,0,0,0,0,0,1,0,0,1,"😊SatisfiedI was able to complete my part of the group project so far and contribute to my group.I sometimes procrastinate on my work. My challenges were completing my part of the project and communicating with my group in order to successfully accomplish everything. Other challenges I faced were feeling stuck on a part of the project.I overcame these challenges by trying my best to communicate with my group and in my part of the project. I tried my best to review related material even though I still felt stuck, and I asked the professor questions.Completing part 3 of the project with my group and understanding it."
0,0,0,0,0,0,0,0,0,0,1,0,0,"😟Confused,😐Neutral (No strong positive or negative emotions)I am a little confused about what is to come in the future project.I think coordinating is the only hard part in these group projects.We as a group talked it out with each other.I don't have any challenges right now maybe in the future."
0,0,0,0,0,0,0,0,0,0,1,0,0,😍ExcitedThis class has taught me a lot Communicating with my groupCell phone calls and working aheadNone
1,0,0,0,0,0,0,0,0,0,0,0,0,😊Satisfiedcourse going great!None teacher has done a great jobby studying hard and staying focusedNone
0,0,0,0,0,0,0,0,0,1,1,0,0,"😍Excited,😊Satisfied,😰AnxiousI am excited because I have learned a lot of applicable and transferable skills and knowledge, which also makes me satisfied. I am slightly nervous about the Final Project, but I should be fine.Getting 2 group members to actively participate in the project, but it has gotten much better.Planning calls a few days in advance to give them enough time to see it and commit to it. Also by assigning them certain things, it helps them participate.Just time management."
0,0,0,0,0,0,1,0,0,0,1,0,1,"😍Excited,😊SatisfiedI am excited and satisfied about the course so far. deciding who can do what work was challenging and the project itself was a bit challengingi used the modules to understand on how to solve the problems and also searched the web and AI for solutions and used them to complete my part 2 of the project.i have some challenges in understanding the requirement for part 3 of the course"
0,0,0,0,0,0,0,1,0,0,0,0,0,"😟ConfusedI am having trouble understanding endpoints and schemas as they relate to API's and I have work during the office hours.Trying to understand materials.I've been looking up videos and asking my peers to help me understand the concepts.No major challenges, just minor setbacks."
0,0,0,0,0,0,0,0,0,1,0,0,0,😊SatisfiedI feel like I have learned a fair amount about important concepts. Balancing time with my three other classes and the general requirements of survival. Not quitting. Devoting more time to this class. 
0,0,0,0,0,0,0,0,0,0,0,0,0,"😟Confused,😰AnxiousSome of the concepts are a little advanced for me. I'm able to pick up on things, but not as fast as I would like. I had a family emergency to tend to during the time of Group Project Part 1, which impacted my contribution to the assignment.I communicated with my group informing them of my situation. I made sure to be more proactive in my contributions to our Part 2 assignment.None at the moment."
0,0,0,1,0,0,0,0,0,0,0,1,0,"😍Excited,😊SatisfiedThe course has taught me very useful information that I will need to know in my upcoming career. There have also been very useful resources provided to help you grasp each concept.Making sure the SQL database and FastAPI were correct.I viewed many of the extra resources provided in the feedback modules. Those resources led me to other resources that played a pivotal role as well in understanding the concept.None that are in dire need of attention, I am learning more and more every day."
0,0,0,0,0,0,0,0,0,1,0,0,0,"😊Satisfied,😐Neutral (No strong positive or negative emotions)I did not know what topics to expect to learn from this course, but I found them to be helpful in the long run.My main challenge was finding the motivation to do my part in the group/final project.For each part of the project, I would go through the requirements and ask my group to check my work to ensure I did everything.I do not have any current challenges."
0,0,0,0,1,0,0,0,0,0,0,1,0,"😍Excited,😊SatisfiedI chose the options above because I am eager to learn more about software engineering and because I am happy with my current course grade.

 Working on the assignment 1 sandwich maker, assignment 2 modular sandwich maker, assignment 3 sandwich maker database, assignment 4 FastAPI implementation, and assignment 5 CRUD operation in FastAPI - sandwich maker machine program has been my biggest challenge for these previous modules. I've used MySQL to create the database and PyCharm and GitHub to complete the assignments.

 

 I overcome this difficulty by carefully reading the assignment instructions again, going over the rubric, and making sure I was meeting all the requirements.

 

 Currently i don't have any current challenges in the course."
0,0,0,0,0,0,0,0,0,0,0,1,0,😊SatisfiedThe course has been going well.Assignment 5 - FastAPI implementation was a bit difficult but it wasn’t nearly as bad as I thought it would be.My group members gave some slight assistance. Some of them were having trouble so another group member ran their code on their system and it worked.Part 2 and 3 of the project are coming up so those will pose some difficulties but I’m sure my group members and I can work hard and overcome them.
1,0,0,0,0,0,0,0,0,0,0,0,0,😐Neutral (No strong positive or negative emotions)
0,0,0,0,0,1,0,0,0,0,0,0,0,"😍Excited,😰AnxiousI am excited to learn new things in this class, but I am anxious with it being completely asynchronous and I just have some unsureness.Nothing really challenged me that hard, I just struggle with quizzes that have more than 1 right answer.I will make sure that any answers I choose are the most right.NO current challenges"
0,0,0,0,0,1,0,0,0,1,0,0,0,"😊SatisfiedSoftware engineeringThe quizStudying more

 Timeliness"
0,0,0,0,0,0,0,0,0,1,0,0,0,"😍Excited,😰AnxiousI’m always excited about starting a new class and learning new things but I’m nervous because I’m taking so many classes over the summer.The biggest challenge was just time management and remembering to turn things in.I’m working on better time management and balancing my time between classesNo current challenges"
1,0,0,0,0,0,0,0,0,0,0,0,0,😊SatisfiedI feel like we are in the basics so everything is pretty much easynonenonenone
0,1,0,0,0,0,0,0,0,1,0,0,0,"😖Frustrated,😐Neutral (No strong positive or negative emotions)I selected ""Neutral"" because the semester has just begun and we have yet to do any challenging assignments yet. However, I also picked ""frustrated"" because I am frustrated at myself for submitting some of the assignments late.My biggest challenge was understanding how class and object attributes work in Python as compared to Java.I started overcoming this challenge by watching Youtube videos and reading articles on the topic.Beyond the specific challenge listed above, I am generally challenging myself to learn Python by watching Youtube Videos, taking notes, and attempting to create Python projects on the side."
0,1,0,0,0,0,0,0,0,0,0,0,0,"😍Excited,😊SatisfiedI have taken this class before and did not pass. After some time, I feel more prepared to succeed in this class. I look forward to the projects and learning more about software engineering.Understanding outputs given a snippet of code.In order to overcome this challenge I need to practice and understand Python code more.The pace at which I need to learn is challenging, however, I feel confident I will be able to keep up with it."
0,0,0,0,0,0,0,0,0,0,0,0,0,"😟Confused,😐Neutral (No strong positive or negative emotions)I am just confused about the VPN system. Other than that I am fine with how the course works.The setting up of the VPN was interesting, everything else is okay.By troubleshooting the system myself.I don't think I have any challenges currently."
0,1,0,0,0,0,0,0,0,0,0,0,0,😐Neutral (No strong positive or negative emotions)Just learning off of a youtube tutorial at the moment.Learning a new syntax.Learned a new syntax.Learning a new syntax.
0,0,0,0,0,0,1,0,0,0,0,0,0,"😊SatisfiedI've enjoyed the course content and I am excited to learn more about python.Assignment 0. After reading directions, the assignment was a little confusing as I got most of the answers wrong but I feel as if I am knowledgable enough on the covered material and I was confident in my answers.I will reach out and communicate with TA's on the assignment to better understand what I got wrong or if I didnt format my answers correctly.Just assignment 0."
1,0,0,0,0,0,0,0,0,0,0,0,0,"😍Excited,😊SatisfiedI am excited and satisfied with this course so far. I feel this way because I find this course enjoyable and the information to be interesting. I do not believe I have been met with a challenge thus far.As I have not had any challenges so far, I have not had to overcome anything for this course yet.I do not have any current challenges in this course."
1,0,0,0,0,0,0,0,0,0,0,0,0,"😍Excited,😊SatisfiedI'm satisfied with work, excited to what we will learn. Nothing really, all good so far.More time on YouTube learning python.No."
1,0,0,0,0,0,0,0,0,0,0,0,0,😍ExcitedI’m excited to learn more about software engineering Not much so far as I am pretty experienced with python and Sofwatre Engineering practicesI’ve just been doing the workN/A
1,0,0,0,0,0,0,0,0,0,0,0,0,"😊Satisfied,😰AnxiousI have taken this course before and barely failed, so I am worried that I may not be able to keep up fully. So far none. N/aN/a"
0,0,1,0,0,0,0,0,0,1,0,0,0,"😍Excited,😰AnxiousI am excited to learn more about software engineering and doing some projects but I am kind of nervous because I have limited knowledge in git.Watching the tutorial and doing the assignment.I broke it up into different sections throughout the week.Nothing currently "
0,1,0,0,0,0,0,0,0,0,0,0,0,"😊SatisfiedThe course goes at a good pace and it's interesting so far. The content is also comprehensible.Going from Java to Python is a little confusing with the slight changes in the coding structure, but other than that, all is well.With a lot of practice and that video, the crash course really helps.I do not."
0,1,0,0,0,0,0,0,0,0,0,0,0,"😍ExcitedI am excited to continue to improve my skills in python as this is my first time using itChanging my mindset while writing code from Java to Python has been challenging, I find that it takes me a while to figure out what the Python equivelent of the things I know already areI've been watching tutorials and going through the material multiple timesNothing is too challenging at the moment"
0,0,0,0,0,0,0,0,0,1,0,0,0,"😐Neutral (No strong positive or negative emotions)I selected neutral because I feel like I still have a lot to learn.I don't feel like I've had any challenges so far.The lecture videos were quite long, so I had to split them up into different days to retain the information I was learning, which was kind of challenging.I notice that we have a lot of quizzes in this course, and I feel like it may be challenging for me to properly study for all of them and get a good grade."
1,0,0,0,0,0,0,0,0,0,0,0,0,😍ExcitedI am excited for this class because I would love to learn and improve my Python and MySQL skillsNoneN/ANone
0,0,0,0,0,0,0,0,0,1,0,0,0,"😟Confused,😰AnxiousIt feels like there is a lot to learn in a very short period of time (which I know is the case with all summer classes), so I am just worried I will not be able to keep up.Watching the long videos and keeping up with them, and feeling a bit overwhelmed in the process.Instead of trying to watch the whole video sections at once, breaking it up into more manageable parts is what I need to do moving forward.I just need to find more time to study and learn the concepts so far."
1,0,0,0,0,0,0,0,0,0,0,0,0,😍ExcitedLearn new thingsNo challenges yetPracticing and course materialsNone yet !
0,0,0,0,0,0,0,0,0,1,0,0,0,😐Neutral (No strong positive or negative emotions)I've had a pretty stressful week outside of school but nothing has been too tuff so far because I have some past experience in python.Staying focused on classes.I made sure to set aside time each day to work on assignments and study the prep work. I didn't watch the full crash course but skimmed thru it mostly.Not yet.
0,1,0,0,0,0,0,0,0,0,0,0,0,"😊SatisfiedI am satisfied with the course so far, materials are not that hard, and I hope to learn more.getting comfortable with coding.with more practiceso far no"
1,0,0,0,0,0,0,0,0,0,0,0,0,"😊SatisfiedI enjoy coding in Python and I am enjoying the Python crash course a lot. I have not had any challenges so far. As previously stated, I have not had any challenges, so I cannot answer this question. I do not currently have any challenges, but I am sure I will soon. "
0,1,0,0,0,0,0,0,0,0,0,0,0,😐Neutral (No strong positive or negative emotions)I don't know all what to expect from this course except from what I heard and what I read and the ideas I got from the intro survey. Remembering old programming concepts and coding in Python I did not do anything so far but after completing the first homework I need to review some materialReviewing and remembering Python 
0,1,0,0,0,0,0,0,0,0,0,0,0,"😊Satisfied,😰AnxiousAnxious about learning python.nothing so far.studying and watching videos.keeping up with the pace."
1,0,0,0,0,0,0,0,0,0,0,0,0,😰AnxiousI am not that familiar with python and I am also unsure of what exactly this course entails. Well we haven't done that much so far so I can't say that there has been that many challenges as of yet but I am sure I will come across some in the near future. N/A refer to previous answer None that I can think of in this moment. 
0,0,0,0,0,0,0,1,0,0,0,0,0,😍ExcitedI am really excited to learn python because I have learned python yet. Also excited to learn more about software engineering.Understanding the concept was a little harder.I watched more videos and did little more research on it.I don't have anything right now.
1,0,0,0,0,0,0,0,0,0,0,0,0,😍ExcitedExcited to expand knowledge in pythonNothing so farn/anone so far
0,0,0,0,0,1,0,0,0,0,0,0,0,"😊Satisfied,😖Frustratedthe assignment 0 quiz, I felt I could've done betternanana"
